page,english_text,singlish,sinhala,tamil
youShop,Customer Database / CRM,,,
youShop,Customer profiles and purchase history,,,
youShop,0 records,,,
youShop,50 records,,,
youShop,Loyalty Program,,,
youShop,"Points, rewards, tiers, campaigns",,,
youShop,Basic customer capture,,,
youShop,Analytics & reporting (native),,,
youShop,Sales Analytics,,,
youShop,Native dashboards and reports,,,
youShop,Daily sales summary,,,
youShop,Top-selling SKUs,,,
youShop,Payment breakdown,,,
youShop,Shift report,,,
youShop,Multi-outlet & franchise,,,
youShop,Multi-Store Dashboard,,,
youShop,Centralised view across stores,,,
youShop,Basic dashboard (1–2 stores),,,
youShop,Accounting & finance,,,
youShop,Basic Auto-Ledger,,,
youShop,"Auto sales-entries, tax reporting, AI OCR",,,
youShop,youAccounts (Full),,,
youShop,Advanced accounting module,,,
youShop,"HR, attendance & payroll",,,
youShop,HR & Payroll (youHR),,,
youShop,"Attendance, scheduling, payroll, statutory",,,
youShop,Basic attendance,,,
youShop,Hardware,,,
youShop,Retail Hardware,,,
youShop,"POS, scanners, printers, tablets",,,
youShop,BYO only,,,
youShop,Starter Mobile kit (Bluetooth thermal printer),,,
youShop,Security & access controls,,,
youShop,Authentication & Access,,,
youShop,"MFA, RBAC, audit logs",,,
youShop,Standard security,,,
youShop,+ MFA,,,
youShop,Support & success,,,
youShop,Customer Support,,,
youShop,"Channels, response times, SLA",,,
youShop,Self-service only,,,
youShop,Standard Support,,,
youShop,Email + chat,,,
youShop,24hr response,,,
youShop,Business hours,,,
youShop,Slide across to compare tiers — the feature column stays fixed.,,,
youShop,Freemium to Starter — priced per POS.,,,
youShop,Plan prices are shown in the comparison table above. Tell us your setup and we'll build a quote.,,,
youShop,Get a custom quote,,,
youShop,"A fintech taking Sri Lanka's micro-merchants from payment acceptance to credit. Built in Colombo by LGO Paytech, with LankaPay and a local lending partner.",,,
youShop,connect@lgotech.lk,,,
youShop,Play Store,,,
youShop,Products,,,
youShop,Merchants,,,
youShop,How it works,,,
youShop,Help centre,,,
youShop,Company,,,
youShop,Contact,,,
youShop,Terms of use,,,
youShop,Privacy policy,,,
youShop,Cookie policy,,,
youShop,"— operated by LGO, Sri Lanka. Payments by LankaPay (CBSL-licensed). Credit by a local lending partner. ·",,,
youResto,Solutions,,,
youResto,Unified restaurant platform,,,
youResto,"Front of house to kitchen, one system",,,
youResto,"Ordering, KDS, table management, payments, delivery and accounting are connected end to end — one source of truth for every outlet.",,,
youResto,Live kitchen flow,,,
youResto,Tickets that never get lost,,,
youResto,"Orders route to the right station with prep timing, course firing and printer routing, so the pass keeps moving even on a full house.",,,
youResto,Table & delivery,,,
youResto,Every channel on one screen,,,
youResto,"Dine-in, QR self-order and aggregator delivery orders sit in a single queue with split and merged bills and reservation management.",,,
youResto,Offline billing,,,
youResto,Service continues offline,,,
youResto,"Take orders and settle bills without internet — tickets, KOTs and payments are stored on the device and reconcile automatically when you reconnect.",,,
youResto,Compare plans,,,
youResto,Freemium to Starter — feature by feature.,,,
youResto,Every youResto tier builds on the one before it. Here is exactly what unlocks as you grow from a single outlet to a busier floor.,,,
youResto,Legend,,,
youResto,✓ Included · — Not included · Text = feature scope at that tier,,,
youResto,Feature,,,
youResto,What it does,,,
youResto,FREEMIUM,,,
youResto,forever,,,
youResto,Free,,,
youResto,STARTER,,,
youResto,/POS · mo,,,
youResto,Premium · 1–2 outlets,,,
youResto,Talk to sales,,,
youResto,Core service & ordering,,,
youResto,Billing & Invoicing,,,
youResto,"Order taking, split bills, receipts",,,
youResto,25 menu items,,,
youResto,250 bills / month,,,
youResto,50 menu items,,,
youResto,"1,000 bills / month",,,
youResto,Number of Outlets,,,
youResto,Restaurants supported per account,,,
youResto,Staff User Accounts,,,
youResto,FOH + kitchen users per account,,,
youResto,Offline Billing,,,
youResto,"Take orders offline, sync on reconnect",,,
youResto,Front-of-house management,,,
youResto,Floor Plan & Waitlist,,,
youResto,"Live table map, waitlist, walk-ins",,,
youResto,Kitchen display system (KDS),,,
youResto,Kitchen order routing & display,,,
youResto,Add-on,,,
youResto,Digital ordering & pay-at-table,,,
youResto,Table Ordering & Payment,,,
youResto,Guest self-order & pay,,,
youResto,Payments,,,
youResto,Payment Methods,,,
youResto,Accepted tender types,,,
youResto,Cash + Wallet / QR,,,
youResto,+ Cards (subject to country availability),,,
youResto,Auto-Reconciliation,,,
youResto,Match settlements to billing,,,
youResto,Delivery ecosystem,,,
youResto,Aggregators (Merchant obtained),,,
youResto,Local aggregators (region-specific),,,
youResto,1 aggregator connector,,,
youResto,Own Branded Delivery App,,,
youResto,Branded guest ordering app,,,
youResto,3rd-Party Delivery Fleets,,,
youResto,Region-specific delivery fleets,,,
youResto,Social Ordering,,,
youResto,"Facebook, Instagram, WhatsApp orders",,,
youResto,"Inventory, recipes & menu engineering",,,
youResto,Ingredient & Stock Tracking,,,
youResto,"Ingredient counts, low-stock alerts",,,
youResto,Guest database & loyalty,,,
youResto,Guest Database / CRM,,,
youResto,Guest profiles and preferences,,,
youResto,0 records,,,
youResto,50 records,,,
youResto,Loyalty Program,,,
youResto,"Rewards, tiers, campaigns",,,
youResto,Basic guest capture,,,
youResto,Analytics & reporting (native),,,
youResto,Sales Analytics,,,
youResto,Native dashboards and reports,,,
youResto,Daily sales summary,,,
youResto,Top-selling items,,,
youResto,Payment breakdown,,,
youResto,Shift report,,,
youResto,Multi-outlet & franchise,,,
youResto,Multi-Outlet Dashboard,,,
youResto,Centralised view across outlets,,,
youResto,Basic dashboard (1–2 outlets),,,
youResto,Accounting & finance,,,
youResto,Basic Auto-Ledger,,,
youResto,"Auto sales-entries, tax reporting, AI OCR",,,
youResto,youAccounts (Full),,,
youResto,Advanced accounting module,,,
youResto,"HR, attendance & payroll",,,
youResto,HR & Payroll (youHR),,,
youResto,"Attendance, scheduling, payroll",,,
youResto,Basic attendance,,,
youResto,Hardware,,,
youResto,Restaurant Hardware,,,
youResto,"POS, KDS printers, tablets",,,
youResto,BYO only,,,
youResto,Starter Mobile kit (Bluetooth thermal printer),,,
youResto,Security & access controls,,,
youResto,Authentication & Access,,,
youResto,"MFA, RBAC, audit logs",,,
youResto,Standard security,,,
youResto,+ MFA,,,
youResto,Support & success,,,
youResto,Customer Support,,,
youResto,"Channels, response times, SLA",,,
youResto,Self-service only,,,
youResto,Standard Support,,,
youResto,Email + chat,,,
youResto,24hr response,,,
youResto,Business hours,,,
youResto,Slide across to compare tiers — the feature column stays fixed.,,,
youResto,Freemium to Starter — priced per POS.,,,
youResto,Plan prices are shown in the comparison table above. Tell us your setup and we'll build a quote.,,,
youResto,Get a custom quote,,,
youResto,"A fintech taking Sri Lanka's micro-merchants from payment acceptance to credit. Built in Colombo by LGO Paytech, with LankaPay and a local lending partner.",,,
youResto,connect@lgotech.lk,,,
youResto,Play Store,,,
youResto,Products,,,
youResto,Merchants,,,
youResto,How it works,,,
youResto,Help centre,,,
youResto,Company,,,
youResto,Contact,,,
youResto,Terms of use,,,
youResto,Privacy policy,,,
youResto,Cookie policy,,,
youResto,"— operated by LGO, Sri Lanka. Payments by LankaPay (CBSL-licensed). Credit by a local lending partner. ·",,,
youQR,Solutions,,,
youQR,Unified QR platform,,,
youQR,"Order, pay and reward in one flow",,,
youQR,"Scan-to-order, LankaQR and card payments and a full loyalty engine all live on a single link — no app download for your customers.",,,
youQR,Instant menu control,,,
youQR,Change the menu in seconds,,,
youQR,"Mark an item sold out or update a price and every table sees it instantly — no reprinting, no stale QR codes on the floor.",,,
youQR,Kitchen & counter routing,,,
youQR,Orders land where they're made,,,
youQR,"QR orders route straight to the kitchen display or counter queue, so nothing waits for a server to key it in.",,,
youQR,Offline resilience,,,
youQR,Resilient on any connection,,,
youQR,"Payments capture and orders queue even on a flaky connection, syncing automatically the moment signal returns — no lost tickets.",,,
youQR,Compare plans,,,
youQR,Freemium to Power — feature by feature.,,,
youQR,Every youQR tier builds on the one before it. Here is exactly what unlocks as you scale app-less QR ordering across your outlets.,,,
youQR,Legend,,,
youQR,"✓ Included · — Not included · Text = feature scope at that tier · ""+"" builds on the previous tier",,,
youQR,ENTERPRISE,,,
youQR,reserved for the custom Enterprise plan above Power,,,
youQR,Feature,,,
youQR,What it does,,,
youQR,FREEMIUM,,,
youQR,/ month,,,
youQR,Free,,,
youQR,STARTER,,,
youQR,Premium · 1–2 outlets,,,
youQR,Talk to sales,,,
youQR,STANDARD,,,
youQR,Premium · 3–8 outlets,,,
youQR,POWER,,,
youQR,Premium · 9+ outlets,,,
youQR,Core service & ordering,,,
youQR,Menu Items,,,
youQR,Items live on the QR ordering surface,,,
youQR,25 menu items,,,
youQR,100 menu items,,,
youQR,500 menu items,,,
youQR,Unlimited items,,,
youQR,Orders / Month,,,
youQR,Monthly transaction volume cap,,,
youQR,100 orders / month,,,
youQR,500 orders / month,,,
youQR,"2,500 orders / month",,,
youQR,Unlimited orders,,,
youQR,Number of Outlets,,,
youQR,Locations supported per account,,,
youQR,9+ / Unlimited,,,
youQR,Order Modes,,,
youQR,"Table, counter, pickup",,,
youQR,1 mode,,,
youQR,All modes,,,
youQR,All modes + custom,,,
youQR,Branding,,,
youQR,Customer-Facing Branding,,,
youQR,Look & feel of the QR ordering surface,,,
youQR,Youcloud-branded,,,
youQR,Fully white-labelled,,,
youQR,+ custom domain,,,
youQR,+ theme,,,
youQR,Payments,,,
youQR,Payment Methods,,,
youQR,Accepted tender types at checkout,,,
youQR,QR + Pay-by-Link,,,
youQR,+ Mobile Wallets,,,
youQR,+ Cards,,,
youQR,+ Split payments,,,
youQR,+ Gift cards,,,
youQR,SVA / Stored Value Wallet,,,
youQR,Closed-loop prepaid balance for customers,,,
youQR,Top-up + Spend,,,
youQR,+ Cashback rules,,,
youQR,+ Tiered loyalty,,,
youQR,Auto-Reconciliation,,,
youQR,Match settlements to ordering ledger,,,
youQR,Loyalty engine,,,
youQR,Programme-Wide Loyalty,,,
youQR,Network-level rewards (always included),,,
youQR,Merchant-Specific Loyalty,,,
youQR,"Per-merchant points, campaigns, tiers",,,
youQR,Available as add-on,,,
youQR,Bundled as standard,,,
youQR,Tier Programmes,,,
youQR,Silver / Gold / Platinum reward tiers,,,
youQR,✓ + Custom tiers,,,
youQR,Gamification & Streaks,,,
youQR,"Visit streaks, milestone badges, challenges",,,
youQR,Customer & data,,,
youQR,Customer Profiles,,,
youQR,Captured CRM records per account,,,
youQR,0 records,,,
youQR,50 records,,,
youQR,500 records,,,
youQR,Unlimited records,,,
youQR,Targeted Campaigns,,,
youQR,Segmented messaging & promotions,,,
youQR,Basic segments,,,
youQR,Full segmentation,,,
youQR,+ scheduling,,,
youQR,Dashboard & operations,,,
youQR,Live Order Feed,,,
youQR,"Real-time orders, status, routing",,,
youQR,KDS (Kitchen Display System),,,
youQR,Order routing & prep coordination,,,
youQR,1 station included,,,
youQR,2 stations included,,,
youQR,+ Course firing,,,
youQR,Sales Analytics,,,
youQR,"Revenue, peak hours, top items",,,
youQR,Daily summary,,,
youQR,+ Weekly,,,
youQR,+ Top items,,,
youQR,+ Cross-outlet,,,
youQR,+ Hourly trends,,,
youQR,+ Cohort reports,,,
youQR,+ Custom reports,,,
youQR,+ Exports,,,
youQR,Inventory Insights,,,
youQR,Stock movement & threshold alerts,,,
youQR,Stock thresholds + alerts,,,
youQR,+ Auto-reorder triggers,,,
youQR,Multi-outlet & integration,,,
youQR,Multi-Outlet Dashboard,,,
youQR,Centralised view across outlets,,,
youQR,Basic (1–2 outlets),,,
youQR,+ RBAC,,,
youQR,Full central dashboard,,,
youQR,+ Group reporting,,,
youQR,+ Policy controls,,,
youQR,API & Webhook Access,,,
youQR,Custom integrations to partner systems,,,
youQR,Full REST API + Webhooks,,,
youQR,Co-existence with youShop / youResto,,,
youQR,Shared data layer when co-deployed,,,
youQR,Shared customer + loyalty,,,
youQR,"Shared everything (customer, loyalty, inventory, accounting)",,,
youQR,Security & access controls,,,
youQR,Authentication & Access,,,
youQR,"MFA, RBAC, audit logs",,,
youQR,Standard security,,,
youQR,+ MFA,,,
youQR,+ Role-based access control,,,
youQR,+ RBAC + audit logs,,,
youQR,Support & success,,,
youQR,Customer Support,,,
youQR,"Channels, response times, SLA",,,
youQR,Self-service only,,,
youQR,Standard Support,,,
youQR,Email + chat,,,
youQR,24hr response,,,
youQR,Business hours,,,
youQR,Priority Support,,,
youQR,Email + chat + phone,,,
youQR,4hr response,,,
youQR,Extended hours,,,
youQR,Named support agent,,,
youQR,24/7 phone support,,,
youQR,SLA-backed 1hr response,,,
youQR,Quarterly business reviews,,,
youQR,Slide across to compare tiers — the feature column stays fixed. Add-ons attach to any tier including Freemium. Enterprise is a custom plan above Power.,,,
youQR,Freemium to Power — priced per POS.,,,
youQR,Plan prices are shown in the comparison table above. Enterprise — Custom on request · tell us your setup and we'll build a quote.,,,
youQR,Get a custom quote,,,
youQR,"A fintech taking Sri Lanka's micro-merchants from payment acceptance to credit. Built in Colombo by LGO Paytech, with LankaPay and a local lending partner.",,,
youQR,connect@lgotech.lk,,,
youQR,Play Store,,,
youQR,Products,,,
youQR,Hardware,,,
youQR,Merchants,,,
youQR,How it works,,,
youQR,Help centre,,,
youQR,Company,,,
youQR,Contact,,,
youQR,Terms of use,,,
youQR,Privacy policy,,,
youQR,Cookie policy,,,
youQR,"— operated by LGO, Sri Lanka. Payments by LankaPay (CBSL-licensed). Credit by a local lending partner. ·",,,
Hardware,Solutions,,,
Hardware,HANDHELD POS,,,
Hardware,"All-in-one Android terminal that runs youShop with a built-in receipt printer, card reader, camera scanner and 4G.",,,
Hardware,"◆ 5.5"" touchscreen · Android",,,
Hardware,◆ Built-in thermal printer,,,
Hardware,◆ Card reader & 4G / Wi-Fi,,,
Hardware,LKR,,,
Hardware,TABLE TOP POS,,,
Hardware,"A 10"" tabletop Android POS built for table-side ordering — card, NFC and QR payments with a built-in barcode scanner and external receipt printer.",,,
Hardware,"◆ Display · 10"" HD+ touch",,,
Hardware,◆ Card reader · Built-in NFC + EMV,,,
Hardware,◆ Barcode · Built-in scanner,,,
Hardware,◆ Printer · 80 mm external,,,
Hardware,◆ Best for · Table-side ordering,,,
Hardware,Talk to sales,,,
Hardware,SELF-ORDER KIOSK,,,
Hardware,"A floor-standing self-ordering kiosk for restaurants and quick-service counters. Customers browse, order and pay themselves.",,,
Hardware,◆ Large HD touchscreen,,,
Hardware,◆ Built-in printer & scanner,,,
Hardware,◆ LankaQR & Visa payments,,,
Hardware,QR & AUDIO CONFIRMATION,,,
Hardware,"Desktop QR display that shows the amount due and announces every payment out loud, in Sinhala or Tamil.",,,
Hardware,◆ On-screen QR to pay,,,
Hardware,◆ Voice confirmation,,,
Hardware,◆ Perfect for busy counters,,,
Hardware,BLUETOOTH PRINTER,,,
Hardware,Receipt 58,,,
Hardware,58 mm Bluetooth thermal printer. Pairs with youShop in one tap and prints crisp receipts and daily Z-reports.,,,
Hardware,◆ 58 mm thermal paper,,,
Hardware,◆ One-tap Bluetooth pairing,,,
Hardware,◆ Rechargeable battery,,,
Hardware,KITCHEN DISPLAY SYSTEM,,,
Hardware,KDS Tablet,,,
Hardware,Wall-mounted kitchen display for youResto and youQR. Orders appear the second they land — no more shouting across the kitchen.,,,
Hardware,◆ Live ticket board by table,,,
Hardware,◆ Colour-coded prep timers,,,
Hardware,◆ Syncs with youResto,,,
Hardware,Notify me,,,
Hardware,PAIRS IN SECONDS,,,
Hardware,Every device works with the youShop and youResto apps,,,
Hardware,"Buy only what you need, when you need it. Add a printer today, a kiosk next year — it all connects to the same account.",,,
Hardware,connect@lgotech.lk,,,
Hardware,Play Store,,,
Hardware,Products,,,
Hardware,Hardware,,,
Hardware,Merchants,,,
Hardware,How it works,,,
Hardware,Help centre,,,
Hardware,Company,,,
Hardware,Contact,,,
Hardware,Terms of use,,,
Hardware,Privacy policy,,,
Hardware,"— operated by LGO, Sri Lanka. Payments by LankaPay (CBSL-licensed). Credit by Sampath Bank. ·",,,
Solutions,Solutions,,,
Solutions,← Back to home,,,
Solutions,One platform.,,,
Solutions,Every kind of business.,,,
Solutions,"youShop, youResto and youQR aren't just three products — they're building blocks. Combined with a few intelligent add-ons, every kind of merchant business gets a purpose-built solution on the same platform underneath.",,,
Solutions,01 · Hospitality,,,
Solutions,Digital Café,,,
Solutions,"Table QR ordering, a self-service kiosk and a direct-order app end aggregator commission and payment friction.",,,
Solutions,"◆ QR at every table plus a kiosk — scan, order, pay and earn loyalty instantly.",,,
Solutions,◆ A direct branded app saves 25–30% otherwise lost to aggregator commission.,,,
Solutions,◆ AI demand forecasting and kitchen hygiene monitoring keep costs and compliance in check.,,,
Solutions,How it flows,,,
Solutions,Stock,,,
Solutions,Order,,,
Solutions,Kitchen,,,
Solutions,Pay,,,
Solutions,Book,,,
Solutions,Insights,,,
Solutions,02 · Distribution,,,
Solutions,FMCG Distribution,,,
Solutions,"Route sales reps carry offline billing, live credit visibility and cashless collection into the field.",,,
Solutions,◆ Offline billing syncs every order to HQ the moment signal returns.,,,
Solutions,◆ Reps see each outlet's credit exposure before writing the invoice.,,,
Solutions,"◆ Pre-approved retailer lending, underwritten from purchase pattern — no paperwork.",,,
Solutions,Route,,,
Solutions,Dispatch,,,
Solutions,03 · Mobility,,,
Solutions,Taxi & Fleet,,,
Solutions,"In-cab payments, driver wallets and nightly automated settlement replace cash and spreadsheets.",,,
Solutions,"◆ Card, wallet and QR in-cab cut cash handling by more than 60%.",,,
Solutions,"◆ Automated nightly settlement — commission, bonus, fuel and tax withholding.",,,
Solutions,"◆ Lending against trip history for fuel and repair advances, auto-repaid from earnings.",,,
Solutions,Request,,,
Solutions,Trip,,,
Solutions,Split,,,
Solutions,Wallet,,,
Solutions,Advance,,,
Solutions,04 · Manufacturing,,,
Solutions,Production Enterprise,,,
Solutions,"One platform connects raw material, production costing, warehousing and every retail channel.",,,
Solutions,"◆ Recipe and BOM costing rolls material, labour and overhead into a live unit cost.",,,
Solutions,"◆ Inter-store transfers keep warehouse and outlet stock in sync, with no double-counting.",,,
Solutions,"◆ One settlement across counter, table QR, kiosk and online.",,,
Solutions,Procure,,,
Solutions,Cost,,,
Solutions,Warehouse,,,
Solutions,Transfer,,,
Solutions,Sell,,,
Solutions,Close,,,
Solutions,05 · Ultra-SMB,,,
Solutions,Micro-merchant,,,
Solutions,Free forever software that grows into working-capital credit as a sales history builds.,,,
Solutions,"◆ Freemium is $0 forever, and runs on the merchant's own phone.",,,
Solutions,◆ A live Predictability Index replaces paperwork as a credit score.,,,
Solutions,◆ Pre-approved lending appears in the dashboard after about 90 days of sales.,,,
Solutions,Install,,,
Solutions,Accept,,,
Solutions,History,,,
Solutions,Score,,,
Solutions,Loan,,,
Solutions,Repay,,,
Solutions,06 · Enterprise Retail,,,
Solutions,Multi-brand Chain,,,
Solutions,"Central purchasing and consolidated books for franchise groups, with autonomy at the brand level.",,,
Solutions,"◆ One tenant, many brand storefronts, with centralised price and promo push.",,,
Solutions,"◆ Role-based access — franchisees see their own P&L, HQ sees everything.",,,
Solutions,"◆ Group books consolidate nightly, with VAT filed per entity.",,,
Solutions,Distribute,,,
Solutions,Consolidate,,,
Solutions,07 · Cloud Kitchen,,,
Solutions,Cloud Kitchen Operator,,,
Solutions,"Many delivery brands run from one kitchen, unified onto a single order queue and settlement.",,,
Solutions,"◆ Every aggregator lands on one kitchen display — one screen, one queue.",,,
Solutions,◆ Mark an item out of stock once; it disappears from every channel in seconds.,,,
Solutions,◆ Per-brand settlement and demand forecasting to cut prep waste.,,,
Solutions,Configure,,,
Solutions,Orders,,,
Solutions,Display,,,
Solutions,Settle,,,
Solutions,Forecast,,,
Solutions,Don't see your use case?,,,
Solutions,Every business has a solution somewhere in the platform.,,,
Solutions,Tell us how your business runs — we'll show you exactly how the platform assembles for it.,,,
Solutions,See pricing,,,
Solutions,"A fintech taking Sri Lanka's micro-merchants from payment acceptance to credit. Built in Colombo by LGO Paytech, with LankaPay and a local lending partner.",,,
Solutions,connect@lgotech.lk,,,
Solutions,Play Store,,,
Solutions,Products,,,
Solutions,Hardware,,,
Solutions,Merchants,,,
Solutions,How it works,,,
Solutions,Company,,,
Solutions,Contact,,,
Solutions,Terms of use,,,
Solutions,Privacy policy,,,
Solutions,"— operated by LGO, Sri Lanka. Payments by LankaPay (CBSL-licensed). Credit by a local lending partner. ·",,,
Contact,Solutions,,,
Contact,Contact us,,,
Contact,Let's get you selling with,,,
Contact,LGO.,,,
Contact,"Start free in minutes, or book a demo for multi-outlet and enterprise needs.",,,
Contact,Start free · SMB,,,
Contact,Book demo · Enterprise,,,
Contact,Start your free account,,,
Contact,Freemium plan · LKR 0 forever · no credit card required.,,,
Contact,Which product?,,,
Contact,Hardware,,,
Contact,First name,,,
Contact,Last name,,,
Contact,Business name,,,
Contact,Email,,,
Contact,Mobile number,,,
Contact,Country,,,
Contact,Number of shops / outlets,,,
Contact,I agree to be contacted about my LGO account. No spam — you can unsubscribe any time.,,,
Contact,Start free →,,,
